TEXT,LEMMA,POS,TAG,DEP,SHAPE,ALPHA,STOP
situation,situation,NOUN,NN,dobj,xxxx,True,False
circumstances,circumstance,NOUN,NNS,dobj,xxxx,True,False
application,application,NOUN,NN,pobj,xxxx,True,False
user,user,NOUN,NN,nsubj,xxxx,True,False
application,application,NOUN,NN,dobj,xxxx,True,False
User,user,NOUN,NN,nsubj,Xxxx,True,False
account,account,NOUN,NN,pobj,xxxx,True,False
application,application,NOUN,NN,pobj,xxxx,True,False
profile,profile,NOUN,NN,compound,xxxx,True,False
page,page,NOUN,NN,nsubj,xxxx,True,False
project,project,NOUN,NN,pobj,xxxx,True,False
Developers,developer,NOUN,NNS,ROOT,Xxxxx,True,False
project,project,NOUN,NN,pobj,xxxx,True,False
determine,determine,NOUN,NN,compound,xxxx,True,False
group,group,NOUN,NN,pobj,xxxx,True,False
users,user,NOUN,NNS,pobj,xxxx,True,False
group,group,NOUN,NN,pobj,xxxx,True,False
users,user,NOUN,NNS,pobj,xxxx,True,False
highways,highway,NOUN,NNS,pobj,xxxx,True,False
group,group,NOUN,NN,nsubj,xxxx,True,False
difference,difference,NOUN,NN,compound,xxxx,True,False
data,data,NOUN,NN,compound,xxxx,True,False
accessibility,accessibility,NOUN,NN,dobj,xxxx,True,False
user,user,NOUN,NN,compound,xxxx,True,False
login,login,NOUN,NN,advcl,xxxx,True,False
web,web,NOUN,NN,nsubj,xxx,True,False
Homepage,homepage,NOUN,NN,nsubj,Xxxxx,True,False
date,date,NOUN,NN,dobj,xxxx,True,False
name,name,NOUN,NN,conj,xxxx,True,True
location,location,NOUN,NN,conj,xxxx,True,False
status,status,NOUN,NN,conj,xxxx,True,False
owner,owner,NOUN,NN,conj,xxxx,True,False
date,date,NOUN,NN,conj,xxxx,True,False
date,date,NOUN,NN,conj,xxxx,True,False
upload,upload,NOUN,NN,npadvmod,xxxx,True,False
search,search,NOUN,NN,compound,xxxx,True,False
bar,bar,NOUN,NN,attr,xxx,True,False
task,task,NOUN,NN,dobj,xxxx,True,False
user,user,NOUN,NN,nsubj,xxxx,True,False
User,user,NOUN,NN,nsubj,Xxxx,True,False
result,result,NOUN,NN,dobj,xxxx,True,False
task,task,NOUN,NN,pobj,xxxx,True,False
name,name,NOUN,NN,pobj,xxxx,True,True
task,task,NOUN,NN,pobj,xxxx,True,False
result,result,NOUN,NN,compound,xxxx,True,False
page,page,NOUN,NN,dobj,xxxx,True,False
result,result,NOUN,NN,dobj,xxxx,True,False
detection,detection,NOUN,NN,pobj,xxxx,True,False
result,result,NOUN,NN,nsubj,xxxx,True,False
type,type,NOUN,NN,dobj,xxxx,True,False
car,car,NOUN,NN,pobj,xxx,True,False
car,car,NOUN,NN,compound,xxx,True,False
direction,direction,NOUN,NN,conj,xxxx,True,False
car,car,NOUN,NN,compound,xxx,True,False
counting,counting,NOUN,NN,conj,xxxx,True,False
user,user,NOUN,NN,nsubj,xxxx,True,False
data,datum,NOUN,NNS,dobj,xxxx,True,False
file,file,NOUN,NN,pobj,xxxx,True,False
task,task,NOUN,NN,nsubjpass,xxxx,True,False
task,task,NOUN,NN,pobj,xxxx,True,False
video,video,NOUN,NN,compound,xxxx,True,False
files,file,NOUN,NNS,pobj,xxxx,True,False
location,location,NOUN,NN,conj,xxxx,True,False
date,date,NOUN,NN,compound,xxxx,True,False
collection,collection,NOUN,NN,conj,xxxx,True,False
authority,authority,NOUN,NN,conj,xxxx,True,False
description,description,NOUN,NN,conj,xxxx,True,False
loop,loop,NOUN,NN,compound,xxxx,True,False
name,name,NOUN,NN,dobj,xxxx,True,True
loop,loop,NOUN,NN,compound,xxxx,True,False
location,location,NOUN,NN,conj,xxxx,True,False
video,video,NOUN,NN,compound,xxxx,True,False
files,file,NOUN,NNS,pobj,xxxx,True,False
cars,car,NOUN,NNS,dobj,xxxx,True,False
future,future,NOUN,NN,pobj,xxxx,True,False
project,project,NOUN,NN,nsubj,xxxx,True,False
plans,plan,NOUN,NNS,dobj,xxxx,True,False
functions,function,NOUN,NNS,pobj,xxxx,True,False
notification,notification,NOUN,NN,pobj,xxxx,True,False
process,process,NOUN,NN,dobj,xxxx,True,False
work,work,NOUN,NN,pobj,xxxx,True,False
engine,engine,NOUN,NN,dobj,xxxx,True,False
accuracy,accuracy,NOUN,NN,compound,xxxx,True,False
detection,detection,NOUN,NN,pobj,xxxx,True,False
function,function,NOUN,NN,conj,xxxx,True,False
task,task,NOUN,NN,dobj,xxxx,True,False
