TEXT,LEMMA,POS,TAG,DEP,SHAPE,ALPHA,STOP
was,be,AUX,VBD,auxpass,xxx,True,True
take,take,VERB,VB,relcl,xxxx,True,True
with,with,ADP,IN,prep,xxxx,True,True
drone,drone,NOUN,NN,pobj,xxxx,True,False
at,at,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
intersection,intersection,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
For,for,ADP,IN,prep,Xxx,True,True
example,example,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
In,in,ADP,IN,prep,Xx,True,True
New,New,PROPN,NNP,compound,Xxx,True,False
Year,Year,PROPN,NNP,compound,Xxxx,True,False
holidays,holiday,NOUN,NNS,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
a,a,DET,DT,det,x,True,True
lot,lot,NOUN,NN,nsubj,xxx,True,False
of,of,ADP,IN,prep,xx,True,True
people,people,NOUN,NNS,pobj,xxxx,True,False
go,go,VERB,VBP,ROOT,xx,True,True
back,back,ADV,RB,advmod,xxxx,True,True
home,home,ADV,RB,advmod,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
visit,visit,VERB,VB,advcl,xxxx,True,False
their,their,PRON,PRP$,poss,xxxx,True,True
family,family,NOUN,NN,dobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
This,this,DET,DT,det,Xxxx,True,True
web,web,NOUN,NN,compound,xxx,True,False
application,application,NOUN,NN,nsubj,xxxx,True,False
can,can,AUX,MD,aux,xxx,True,True
help,help,VERB,VB,ROOT,xxxx,True,False
police,police,NOUN,NNS,nsubj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
detect,detect,VERB,VB,xcomp,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
count,count,VERB,VB,conj,xxxx,True,False
number,number,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
cars,car,NOUN,NNS,pobj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
collect,collect,VERB,VB,advcl,xxxx,True,False
data,datum,NOUN,NNS,dobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
predict,predict,VERB,VBP,conj,xxxx,True,False
situation,situation,NOUN,NN,dobj,xxxx,True,False
that,that,PRON,WDT,nsubj,xxxx,True,True
may,may,AUX,MD,aux,xxx,True,True
happen,happen,VERB,VB,relcl,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
a,a,DET,DT,det,x,True,True
nearest,near,ADJ,JJS,amod,xxxx,True,False
future,future,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
and,and,CCONJ,CC,cc,xxx,True,True
manage,manage,VERB,VB,conj,xxxx,True,False
the,the,DET,DT,det,xxx,True,True
situation,situation,NOUN,NN,dobj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
prevent,prevent,VERB,VB,xcomp,xxxx,True,False
unexpected,unexpected,ADJ,JJ,amod,xxxx,True,False
circumstances,circumstance,NOUN,NNS,dobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
"
","
",SPACE,_SP,dep,"
",False,False
Like,like,ADP,IN,prep,Xxxx,True,False
other,other,ADJ,JJ,amod,xxxx,True,True
application,application,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
user,user,NOUN,NN,nsubj,xxxx,True,False
must,must,AUX,MD,aux,xxxx,True,True
authorize,authorize,VERB,VB,ROOT,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
use,use,VERB,VB,xcomp,xxx,True,False
this,this,DET,DT,det,xxxx,True,True
application,application,NOUN,NN,dobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
User,user,NOUN,NN,nsubj,Xxxx,True,False
with,with,ADP,IN,prep,xxxx,True,True
no,no,DET,DT,det,xx,True,True
account,account,NOUN,NN,pobj,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
this,this,DET,DT,det,xxxx,True,True
application,application,NOUN,NN,pobj,xxxx,True,False
can,can,AUX,MD,aux,xxx,True,True
register,register,VERB,VB,ROOT,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
login,login,VERB,VB,conj,xxxx,True,False
too,too,ADV,RB,advmod,xxx,True,True
.,.,PUNCT,.,punct,.,False,False
The,the,DET,DT,det,Xxx,True,True
profile,profile,NOUN,NN,compound,xxxx,True,False
page,page,NOUN,NN,nsubj,xxxx,True,False
is,be,AUX,VBZ,ROOT,xx,True,True
also,also,ADV,RB,advmod,xxxx,True,True
editable,editable,ADJ,JJ,acomp,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
In,in,ADP,IN,prep,Xx,True,True
this,this,DET,DT,det,xxxx,True,True
project,project,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
Developers,developer,NOUN,NNS,ROOT,Xxxxx,True,False
of,of,ADP,IN,prep,xx,True,True
this,this,DET,DT,det,xxxx,True,True
project,project,NOUN,NN,pobj,xxxx,True,False
determine,determine,NOUN,NN,compound,xxxx,True,False
group,group,NOUN,NN,pobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
users,user,NOUN,NNS,pobj,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
to,to,ADP,IN,prep,xx,True,True
3,3,NUM,CD,nummod,d,False,False
group,group,NOUN,NN,pobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
users,user,NOUN,NNS,pobj,xxxx,True,False
including,include,VERB,VBG,prep,xxxx,True,False
Department,Department,PROPN,NNP,pobj,Xxxxx,True,False
of,of,ADP,IN,prep,xx,True,True
highways,highway,NOUN,NNS,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
Local,Local,PROPN,NNP,compound,Xxxxx,True,False
Police,Police,PROPN,NNP,conj,Xxxxx,True,False
",",",",PUNCT,",",punct,",",False,False
and,and,CCONJ,CC,cc,xxx,True,True
Traffic,Traffic,PROPN,NNP,compound,Xxxxx,True,False
Police,Police,PROPN,NNP,conj,Xxxxx,True,False
.,.,PUNCT,.,punct,.,False,False
Each,each,DET,DT,det,Xxxx,True,True
group,group,NOUN,NN,nsubj,xxxx,True,False
has,have,VERB,VBZ,ROOT,xxx,True,True
difference,difference,NOUN,NN,compound,xxxx,True,False
data,data,NOUN,NN,compound,xxxx,True,False
accessibility,accessibility,NOUN,NN,dobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
When,when,SCONJ,WRB,advmod,Xxxx,True,True
user,user,NOUN,NN,compound,xxxx,True,False
login,login,NOUN,NN,advcl,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
this,this,DET,DT,det,xxxx,True,True
web,web,NOUN,NN,nsubj,xxx,True,False
will,will,AUX,MD,aux,xxxx,True,True
redirect,redirect,VERB,VB,ROOT,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
homepage,homepage,VERB,VB,xcomp,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
Homepage,homepage,NOUN,NN,nsubj,Xxxxx,True,False
shows,show,VERB,VBZ,ROOT,xxxx,True,False
Task,Task,PROPN,NNP,compound,Xxxx,True,False
Table,Table,PROPN,NNP,dobj,Xxxxx,True,False
that,that,PRON,WDT,nsubj,xxxx,True,True
contains,contain,VERB,VBZ,ccomp,xxxx,True,False
date,date,NOUN,NN,dobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
name,name,NOUN,NN,conj,xxxx,True,True
",",",",PUNCT,",",punct,",",False,False
location,location,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
status,status,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
owner,owner,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
date,date,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
modify,modify,VERB,VB,conj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
date,date,NOUN,NN,conj,xxxx,True,False
upload,upload,NOUN,NN,npadvmod,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
Moreover,moreover,ADV,RB,advmod,Xxxxx,True,True
",",",",PUNCT,",",punct,",",False,False
there,there,PRON,EX,expl,xxxx,True,True
is,be,VERB,VBZ,ROOT,xx,True,True
a,a,DET,DT,det,x,True,True
search,search,NOUN,NN,compound,xxxx,True,False
bar,bar,NOUN,NN,attr,xxx,True,False
that,that,PRON,WDT,nsubj,xxxx,True,True
can,can,AUX,MD,aux,xxx,True,True
find,find,VERB,VB,relcl,xxxx,True,False
a,a,DET,DT,det,x,True,True
task,task,NOUN,NN,dobj,xxxx,True,False
that,that,PRON,WDT,pobj,xxxx,True,True
user,user,NOUN,NN,nsubj,xxxx,True,False
is,be,AUX,VBZ,relcl,xx,True,True
interested,interested,ADJ,JJ,acomp,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
.,.,PUNCT,.,punct,.,False,False
User,user,NOUN,NN,nsubj,Xxxx,True,False
can,can,AUX,MD,aux,xxx,True,True
view,view,VERB,VB,ROOT,xxxx,True,False
result,result,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
each,each,DET,DT,det,xxxx,True,True
task,task,NOUN,NN,pobj,xxxx,True,False
by,by,ADP,IN,prep,xx,True,True
clicking,click,VERB,VBG,pcomp,xxxx,True,False
at,at,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
name,name,NOUN,NN,pobj,xxxx,True,True
of,of,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
task,task,NOUN,NN,pobj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
it,it,PRON,PRP,nsubj,xx,True,True
will,will,AUX,MD,aux,xxxx,True,True
show,show,VERB,VB,conj,xxxx,True,True
result,result,NOUN,NN,compound,xxxx,True,False
page,page,NOUN,NN,dobj,xxxx,True,False
that,that,PRON,WDT,nsubj,xxxx,True,True
display,display,VERB,VBP,relcl,xxxx,True,False
the,the,DET,DT,det,xxx,True,True
result,result,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
detection,detection,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
The,the,DET,DT,det,Xxx,True,True
result,result,NOUN,NN,nsubj,xxxx,True,False
not,not,PART,RB,preconj,xxx,True,True
only,only,ADV,RB,advmod,xxxx,True,True
show,show,VERB,VBP,ROOT,xxxx,True,True
type,type,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
car,car,NOUN,NN,pobj,xxx,True,False
",",",",PUNCT,",",punct,",",False,False
car,car,NOUN,NN,compound,xxx,True,False
direction,direction,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
and,and,CCONJ,CC,cc,xxx,True,True
car,car,NOUN,NN,compound,xxx,True,False
counting,counting,NOUN,NN,conj,xxxx,True,False
but,but,CCONJ,CC,cc,xxx,True,True
also,also,ADV,RB,advmod,xxxx,True,True
allows,allow,VERB,VBZ,conj,xxxx,True,False
user,user,NOUN,NN,nsubj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
export,export,VERB,VB,ccomp,xxxx,True,False
these,these,DET,DT,det,xxxx,True,True
data,datum,NOUN,NNS,dobj,xxxx,True,False
into,into,ADP,IN,prep,xxxx,True,True
JSON,json,ADJ,JJ,compound,XXXX,True,False
file,file,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
The,the,DET,DT,det,Xxx,True,True
task,task,NOUN,NN,nsubjpass,xxxx,True,False
can,can,AUX,MD,aux,xxx,True,True
be,be,AUX,VB,auxpass,xx,True,True
added,add,VERB,VBN,ROOT,xxxx,True,False
by,by,ADP,IN,agent,xx,True,True
their,their,PRON,PRP$,poss,xxxx,True,True
own,own,ADJ,JJ,amod,xxx,True,True
task,task,NOUN,NN,pobj,xxxx,True,False
or,or,CCONJ,CC,cc,xx,True,True
admin,admin,PROPN,NNP,conj,xxxx,True,False
only,only,ADV,RB,advmod,xxxx,True,True
.,.,PUNCT,.,punct,.,False,False
With,with,ADP,IN,ROOT,Xxxx,True,True
video,video,NOUN,NN,compound,xxxx,True,False
files,file,NOUN,NNS,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
location,location,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
date,date,NOUN,NN,compound,xxxx,True,False
collection,collection,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
authority,authority,NOUN,NN,conj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
and,and,CCONJ,CC,cc,xxx,True,True
description,description,NOUN,NN,conj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
Then,then,ADV,RB,advmod,Xxxx,True,True
they,they,PRON,PRP,nsubj,xxxx,True,True
add,add,VERB,VBP,ROOT,xxx,True,False
loop,loop,NOUN,NN,compound,xxxx,True,False
name,name,NOUN,NN,dobj,xxxx,True,True
and,and,CCONJ,CC,cc,xxx,True,True
loop,loop,NOUN,NN,compound,xxxx,True,False
location,location,NOUN,NN,conj,xxxx,True,False
(,(,PUNCT,-LRB-,punct,(,False,False
x,x,PROPN,NNP,dobj,x,True,False
",",",",PUNCT,",",punct,",",False,False
y,y,PROPN,NNP,appos,x,True,False
),),PUNCT,-RRB-,punct,),False,False
in,in,ADP,IN,prep,xx,True,True
video,video,NOUN,NN,compound,xxxx,True,False
files,file,NOUN,NNS,pobj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
detect,detect,VERB,VB,advcl,xxxx,True,False
cars,car,NOUN,NNS,dobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
"
","
",SPACE,_SP,dep,"
",False,False
In,in,ADP,IN,prep,Xx,True,True
the,the,DET,DT,det,xxx,True,True
future,future,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
this,this,DET,DT,det,xxxx,True,True
project,project,NOUN,NN,nsubj,xxxx,True,False
has,have,VERB,VBZ,ROOT,xxx,True,True
plans,plan,NOUN,NNS,dobj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
develop,develop,VERB,VB,acl,xxxx,True,False
for,for,ADP,IN,prep,xxx,True,True
more,more,ADJ,JJR,amod,xxxx,True,True
functions,function,NOUN,NNS,pobj,xxxx,True,False
such,such,ADJ,JJ,amod,xxxx,True,True
as,as,ADP,IN,prep,xx,True,True
notification,notification,NOUN,NN,pobj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
update,update,VERB,VB,relcl,xxxx,True,False
process,process,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
work,work,NOUN,NN,pobj,xxxx,True,False
",",",",PUNCT,",",punct,",",False,False
develop,develop,VERB,VB,conj,xxxx,True,False
engine,engine,NOUN,NN,dobj,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
algorithm,algorithm,PROPN,NNP,conj,xxxx,True,False
for,for,ADP,IN,prep,xxx,True,True
more,more,ADJ,JJR,amod,xxxx,True,True
accuracy,accuracy,NOUN,NN,compound,xxxx,True,False
detection,detection,NOUN,NN,pobj,xxxx,True,False
or,or,CCONJ,CC,cc,xx,True,True
function,function,NOUN,NN,conj,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
show,show,VERB,VB,advcl,xxxx,True,True
that,that,SCONJ,IN,mark,xxxx,True,True
who,who,PRON,WP,nsubj,xxx,True,True
report,report,VERB,VBP,ccomp,xxxx,True,False
the,the,DET,DT,det,xxx,True,True
task,task,NOUN,NN,dobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False
"
","
",SPACE,_SP,dep,"
",False,False
